Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
110,1610,0,1,1,2,1,1
111,3793,0,0,1,4,0,0
111,122,1,0,1,3,0,0
111,888,1,0,0,0,9,0
111,5945,0,0,2,0,5,0
111,5243,1,0,0,2,0,0
111,5587,0,0,1,4,0,0
112,540,1,0,4,0,0,1
112,1731,1,0,1,1,7,0
112,1885,0,1,0,3,0,1
112,2106,0,1,1,2,0,0
112,1418,0,1,0,3,0,0
112,2028,1,0,4,0,0,1
113,384,0,1,3,2,0,1
113,1262,1,0,0,3,2,0
113,5724,1,0,1,0,5,0
113,6504,0,0,0,0,0,1
113,6802,0,0,0,2,0,0
113,6194,0,1,3,2,0,1
114,5546,1,0,1,3,0,1
114,4472,0,0,0,4,0,1
114,2377,0,0,2,0,6,0
114,836,0,1,0,5,2,0
114,5804,0,0,0,2,0,0
114,1522,1,0,1,3,0,1
115,4242,1,0,5,0,6,0
115,6882,0,0,0,1,0,0
115,401,1,0,0,5,0,1
115,1111,1,0,1,0,0,0
115,5279,0,0,3,0,2,1
115,346,1,0,5,0,6,0
116,339,1,0,0,2,0,0
116,623,0,1,3,4,0,1
116,3136,0,0,0,0,3,0
116,6326,0,0,1,0,9,0
116,2537,1,0,0,5,0,0
116,1629,1,0,0,2,0,0
117,2363,0,1,0,5,0,0
117,2914,0,0,1,0,6,0
117,5338,0,0,1,0,0,0
117,611,0,1,0,6,0,0
117,977,0,0,0,1,3,0
117,5950,0,1,0,5,0,0
118,1610,1,0,2,3,0,0
118,2890,1,0,3,0,3,0
118,614,0,1,4,0,0,1
118,620,0,1,1,1,0,1
118,6334,1,0,4,0,5,0
118,2534,1,0,2,3,0,0
119,1086,0,0,1,2,0,0
119,5957,1,0,1,0,7,0
119,3274,0,0,0,7,0,0
119,1599,1,0,1,4,0,0
119,4541,0,1,0,4,2,0
119,1727,0,0,1,2,0,1
120,4456,0,0,5,1,0,1
120,612,1,0,0,4,4,0
120,422,0,0,2,3,0,0
120,116,0,0,1,0,4,0
120,5115,1,0,3,1,0,0
120,2199,0,0,5,1,0,1
